,Berlin,Paris,Rome,Madrid,Warsaw,Bucharest,Amsterdam,Brussels,Athens,Prague,Stockholm,Lisbon,Budapest,Vienna,Sofia,Copenhagen,Helsinki,Bratislava,Dublin,Zagreb,Vilnius,Ljubljana,Riga,Tallinn,Nicosia,Luxembourg,Valletta
"Washington, D.C.",6709.0,6164.0,7217.0,6089.0,7178.0,7977.0,6191.0,6217.0,8254.0,6899.0,6636.0,5735.0,7336.0,7124.0,7912.0,6511.0,6930.0,7174.0,5443.0,7233.0,7270.0,7122.0,7075.0,6963.0,9113.0,6386.0,7721.0
Riyadh,4168.0,4681.0,3673.0,4960.0,3751.0,2877.0,4658.0,4624.0,2621.0,3955.0,4448.0,5421.0,3513.0,3722.0,2928.0,4418.0,4286.0,3674.0,5398.0,3607.0,3773.0,3719.0,4017.0,4223.0,1731.0,4454.0,3312.0
Moscow,1610.0,2486.0,2375.0,3439.0,1150.0,1498.0,2146.0,2252.0,2231.0,1667.0,1227.0,3906.0,1568.0,1670.0,1777.0,1560.0,892.0,1631.0,2793.0,1868.0,790.0,1932.0,840.0,866.0,2311.0,2207.0,2815.0
Ottawa,6126.0,5647.0,6728.0,5690.0,6576.0,7411.0,5631.0,5674.0,7745.0,6333.0,5993.0,5384.0,6774.0,6566.0,7370.0,5905.0,6270.0,6614.0,4899.0,6697.0,6641.0,6589.0,6435.0,6307.0,8574.0,5850.0,7276.0
Baghdad,3261.0,3859.0,2946.0,4294.0,2812.0,1998.0,3781.0,3768.0,1931.0,3071.0,3477.0,4783.0,2640.0,2854.0,2110.0,3483.0,3302.0,2802.0,4534.0,2781.0,2803.0,2897.0,3042.0,3241.0,1033.0,3610.0,2738.0
Abu Dhabi,4635.0,5240.0,4297.0,5623.0,4173.0,3381.0,5162.0,5151.0,3256.0,4453.0,4790.0,6099.0,4023.0,4237.0,3486.0,4843.0,4569.0,4185.0,5916.0,4161.0,4124.0,4276.0,4348.0,4517.0,2342.0,4993.0,4004.0
Tehran,3507.0,4211.0,3412.0,4775.0,3013.0,2350.0,4064.0,4081.0,2467.0,3364.0,3560.0,5275.0,2965.0,3178.0,2529.0,3671.0,3314.0,3124.0,4818.0,3159.0,2910.0,3275.0,3117.0,3266.0,1634.0,3941.0,3308.0
Oslo,838.0,1341.0,2006.0,2387.0,1062.0,2003.0,912.0,1085.0,2606.0,1117.0,416.0,2738.0,1481.0,1351.0,2096.0,483.0,786.0,1370.0,1264.0,1605.0,1044.0,1561.0,843.0,786.0,3197.0,1182.0,2684.0
Brasília,9590.0,8725.0,8906.0,7739.0,10027.0,10016.0,9115.0,8978.0,9552.0,9510.0,10225.0,7280.0,9665.0,9526.0,9734.0,9735.0,10612.0,9571.0,8653.0,9368.0,10397.0,9283.0,10428.0,10571.0,10246.0,8990.0,8716.0
Kuwait City,3817.0,4405.0,3464.0,4798.0,3368.0,2551.0,4336.0,4320.0,2428.0,3626.0,4022.0,5278.0,3193.0,3407.0,2650.0,4039.0,3833.0,3355.0,5088.0,3325.0,3349.0,3441.0,3585.0,3774.0,1514.0,4160.0,3199.0
Nur-Sultan,3883.0,4759.0,4497.0,5685.0,3407.0,3410.0,4415.0,4526.0,3969.0,3921.0,3403.0,6165.0,3736.0,3882.0,3701.0,3815.0,3012.0,3836.0,5026.0,4032.0,3063.0,4118.0,3090.0,3025.0,3505.0,4478.0,4756.0
Mexico City,9725.0,9195.0,10240.0,9063.0,10179.0,11002.0,9216.0,9247.0,11282.0,9923.0,9584.0,8670.0,10362.0,10151.0,10943.0,9509.0,9842.0,10201.0,8472.0,10264.0,10240.0,10153.0,10027.0,9885.0,12144.0,9417.0,10718.0
Algiers,1927.0,1345.0,991.0,712.0,2219.0,2114.0,1740.0,1568.0,1828.0,1737.0,2730.0,1094.0,1772.0,1670.0,1848.0,2220.0,3029.0,1705.0,1978.0,1470.0,2611.0,1402.0,2731.0,2961.0,2721.0,1448.0,1029.0
Doha,4390.0,4971.0,4012.0,5332.0,3939.0,3123.0,4908.0,4891.0,2967.0,4199.0,4582.0,5805.0,3765.0,3978.0,3214.0,4610.0,4380.0,3927.0,5660.0,3892.0,3911.0,4007.0,4142.0,4324.0,2055.0,4729.0,3707.0
Abuja,4861.0,4450.0,3684.0,3656.0,4955.0,4323.0,4821.0,4654.0,3604.0,4606.0,5660.0,3691.0,4411.0,4431.0,4046.0,5202.0,5866.0,4439.0,5075.0,4165.0,5312.0,4167.0,5515.0,5786.0,3917.0,4510.0,3067.0
